date;date2;iqr;disponibilitat;disponibilitat_max;disponibilitat_mean;indisponibilitat_max;indisponibilitat_mean;spi24;spei24;ssfi24;anomalies
01/01/2013;01/01/2023;2.24075;59.94623656;178;10.37209302;60;7.095238095;-1.45;;;-26.16827861
02/01/2013;01/02/2023;1.186;100;672;672;0;0;-1.28;;;-14.83313952
03/01/2013;01/03/2023;7.7985;96.90860215;664;103;9;3.833333333;-1.29;;;17.37472324
04/01/2013;01/04/2023;13.97375;100;720;720;0;0;-1.29;;;34.2963346
05/01/2013;01/05/2023;13.999;100;744;744;0;0;-1.25;;;38.90657404
06/01/2013;01/06/2023;18.921;100;720;;0;0;;;;126.3804098
07/01/2013;01/07/2023;9.119;100;744;744;0;0;;;;210.0977163
08/01/2013;01/08/2023;3.4045;100;744;;0;0;;;;71.96713788
09/01/2013;01/09/2023;1.742;91.80555556;497;;12;5.9;;;;-1.901295207
10/01/2013;01/10/2023;1.84675;56.3172043;151;;71;12.5;;;;-53.25002633
11/01/2013;01/11/2023;6.709;88.88888889;620;;61;26.66666667;;;;26.61385927
12/01/2013;01/12/2023;1.8775625;89.11290323;238;;23;6.230769231;;;;-19.65443722
13/01/2013;01/01/2024;5.0241875;100;744;;0;0;-0.38;;;46.1083843
14/01/2013;01/02/2024;1.972875;100;672;;0;0;-0.18;;;12.44100465
15/01/2013;01/03/2024;7.147375;100;744;;0;0;-0.28;;;14.59753002
16/01/2013;01/04/2024;11.726;100;720;;0;0;-0.26;;;74.44888273
17/01/2013;01/05/2024;14.2;100;744;;0;0;-0.36;;;22.2895889
18/01/2013;01/06/2024;10.2;100;720;;0;0;-0.22;;;23.43986197
19/01/2013;01/07/2024;8.59375;100;744;744;0;0;-0.09;;;41.06354785
20/01/2013;01/08/2024;4.875;100;744;744;0;0;0.41;;;70.79657163
21/01/2013;01/09/2024;4.45;99.30555556;640;357.5;5;5;0.71;;;79.91710955
22/01/2013;01/10/2024;5.575;99.46236559;484;370;4;4;0.58;;;31.78781541
23/01/2013;01/11/2024;5.4125;98.33333333;415;141.6;4;3;0.86;;;14.36434815
24/01/2013;01/12/2024;10.25;100;744;744;0;0;0.89;;1.654157103;111.1226289
25/01/2013;01/01/2025;1.975;100;744;744;0;0;0.81;;1.652804681;-5.835479723
26/01/2013;01/02/2025;3.05;99.70238095;462;335;2;2;0.89;;1.629580786;-18.74728077
27/01/2013;01/03/2025;6.20625;100;744;744;0;0;0.79;;1.649416442;42.74573726
28/01/2013;01/04/2025;10;100;720;720;0;0;0.94;;1.762796937;36.43761257
29/01/2013;01/05/2025;15.25625;100;744;744;0;0;0.8;;1.736145614;17.528838
30/01/2013;01/06/2025;16.06875;100;720;720;0;0;;;1.671671245;33.48404596
31/01/2013;01/07/2025;6;99.8655914;696;371.5;1;1;;;1.579029742;-7.106245058
01/02/2013;01/08/2025;4.5;100;744;744;0;0;;;1.591290969;49.74966962
02/02/2013;01/09/2025;1.875;100;720;720;0;0;;;1.603738321;32.79988229
03/02/2013;01/10/2025;0.7;100;744;;0;0;;;1.613382078;-42.60393313
04/02/2013;01/11/2025;3.9;100;720;;0;0;;;1.619473317;27.16785407
05/02/2013;01/12/2025;1.59375;98.79032258;303;;3;2.25;;;1.218213043;-29.46375586
06/02/2013;01/01/2026;2.24375;100;744;;0;0;;;1.179950558;-11.63339251
07/02/2013;01/02/2026;1.7;100;696;;0;0;;;1.152566745;-13.81504079
08/02/2013;01/03/2026;0.71875;89.11290323;125;;10;3.24;;;1.093670084;-58.64333167
09/02/2013;01/04/2026;6.5875;97.77777778;646;;6;2.666666667;0.83;;0.927774658;-44.31171039
10/02/2013;01/05/2026;8.925;100;744;;0;0;1.05;;0.826773047;-5.678270805
11/02/2013;01/06/2026;7.75;100;720;720;0;0;1.11;;0.791849997;-28.80936374
12/02/2013;01/07/2026;4.83125;98.11827957;403;146;6;3.5;0.97;;0.791918558;-28.75991913
13/02/2013;01/08/2026;0.725;56.0483871;53;13.03125;22;10.21875;0.55;;0.730616771;-46.35925429
14/02/2013;01/09/2026;0.7;30;39;9.391304348;65;21;0.16;;0.668686236;-41.16156396
15/02/2013;01/10/2026;2.01875;44.35483871;83;19.41176471;66;23;0.06;;0.595784028;-54.30327561
16/02/2013;01/11/2026;6.525;87.22222222;245;48.30769231;35;7.076923077;0.04;;0.607106455;18.48881401
17/02/2013;01/12/2026;2.2;68.9516129;231;18.32142857;59;8.25;-0.01;;0.246585529;-45.8707865
18/02/2013;01/01/2027;0.4;40.32258065;31;5;25;7.4;-0.03;;0.216577906;-58.23603987
19/02/2013;01/02/2027;2.19375;99.70238095;653;335;2;2;0;;0.229842025;-6.175783529
20/02/2013;01/03/2027;4.775;100;744;744;0;0;0.14;;0.221282274;25.70997643
21/02/2013;01/04/2027;6.0315;100;720;720;0;0;0.02;;0.11534907;-21.32716198
22/02/2013;01/05/2027;5.02975;100;744;744;0;0;0.12;;-0.104282584;-24.68067039
23/02/2013;01/06/2027;7.9509375;100;720;720;0;0;-0.34;;-0.29971937;-38.77291292
24/02/2013;01/07/2027;3.2565;77.68817204;352;32.11111111;61;9.222222222;-0.6;;-0.346514774;-49.59826523
25/02/2013;01/08/2027;0.85625;53.49462366;69;11.70588235;30;10.17647059;-0.6;;-0.41279714;-46.3601169
26/02/2013;01/09/2027;0.8295;36.52777778;21;;47;14.74193548;;;-0.439197366;-31.38707783
27/02/2013;01/10/2027;2.534875;43.9516129;73;;60;16.68;;;-0.44399544;-44.45012865
28/02/2013;01/11/2027;0.4140625;26.80555556;17;;68;17;;;-0.556153304;-67.30985971
01/03/2013;01/12/2027;0.5;25.80645161;37;;83;17.25;;;-0.637333514;-55.09359569
02/03/2013;01/01/2028;4.3424375;97.44623656;392;;9;3.8;;;-0.603103219;11.19486602
03/03/2013;01/02/2028;1.05;97.91666667;293;;6;2.8;-0.68;;-0.594157188;-26.68458248
04/03/2013;01/03/2028;3.55175;100;744;;0;0;-0.27;;-0.525177995;-13.95791492
05/03/2013;01/04/2028;20.05;100;720;;0;0;-0.08;;-0.314320583;29.94611659
06/03/2013;01/05/2028;16.2248125;100;744;744;0;0;-0.07;;-0.146567216;45.12468873
07/03/2013;01/06/2028;13;100;720;720;0;0;-0.37;;0.156329559;38.47640994
08/03/2013;01/07/2028;5.512;100;744;744;0;0;-0.05;;0.27767463;24.87458858
09/03/2013;01/08/2028;3.746125;99.8655914;629;371.5;1;1;0.49;;0.373451436;48.43590956
10/03/2013;01/09/2028;3.45425;90.83333333;375;43.6;19;4.714285714;0.66;;0.419119844;21.67074813
11/03/2013;01/10/2028;5.2490625;92.87634409;566;69.1;14;5.888888889;0.89;;0.513972956;55.75074104
12/03/2013;01/11/2028;3.3001875;100;720;720;0;0;0.5;;0.497542921;-3.860301826
13/03/2013;01/12/2028;1.3761875;97.71505376;519;103.8571429;6;2.833333333;0.54;;0.290438308;-29.86122508
14/03/2013;01/01/2029;0.607375;89.65053763;109;23.82142857;9;2.851851852;0.51;;0.308236555;-38.20361281
15/03/2013;01/02/2029;1.8;100;672;672;0;0;0.33;;0.297043775;-27.5048641
16/03/2013;01/03/2029;1.566125;100;744;744;0;0;0.12;;0.233717853;-45.05124845
17/03/2013;01/04/2029;8.0675625;69.86111111;377;27.94444444;56;12.05555556;0.52;;0.197035758;-51.73445667
18/03/2013;01/05/2029;6.51625;100;744;744;0;0;;;0.116674212;-35.4512577
19/03/2013;01/06/2029;8.0345;99.72222222;691;359;2;2;;;0.192572278;-40.42582957
20/03/2013;01/07/2029;3.7;87.09677419;476;54;20;8;;;0.248268358;-45.03744752
21/03/2013;01/08/2029;1.4459375;48.92473118;231;18.2;60;18.0952381;;;0.273898692;-41.2379191
22/03/2013;01/09/2029;0.5490625;37.77777778;43;10.07407407;97;16;;;0.283597119;-31.93477603
23/03/2013;01/10/2029;6.65;47.98387097;281;44.625;91;48.375;;;0.354809162;36.59213674
24/03/2013;01/11/2029;4.4329375;100;720;720;0;0;;;0.448282071;12.73476483
25/03/2013;01/12/2029;10.1135625;100;744;744;0;0;;;0.397343965;149.8585661
26/03/2013;01/01/2030;3.9470625;100;744;744;0;0;;;0.438510119;70.01536234
27/03/2013;01/02/2030;3.3538125;100;696;696;0;0;0.54;;0.509269927;82.08778635
28/03/2013;01/03/2030;8.2569375;100;744;744;0;0;0.49;;0.604572906;78.59262637
29/03/2013;01/04/2030;10.476625;100;720;720;0;0;0.37;;0.623888601;13.39018383
30/03/2013;01/05/2030;7.255375;100;744;744;0;0;0.3;;0.44085858;1.290288375
31/03/2013;01/06/2030;8.125;100;720;720;0;0;0.67;;0.401182805;-4.745407701
01/04/2013;01/07/2030;3.509125;99.19354839;714;246;4;3;0.32;;0.40270194;-20.74244542
02/04/2013;01/08/2030;2.413;69.35483871;120;20.64;22;9.5;0.07;;0.366247892;-27.3041264
03/04/2013;01/09/2030;3.598;81.94444444;246;36.875;19;8.666666667;0.13;;0.375687802;22.36558914
04/04/2013;01/10/2030;7.7873125;100;744;744;0;0;0.12;;0.468235538;162.4125427
